name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Santo Silverlake,"3822 W Sunset Blvd, Los Angeles, CA 90026, United States",https://www.santorestaurants.com/?fbclid=PAAabuG1zCnvoqi0mq6UfYVETZ_3yygrRBcEdhNseZhW4A1souZvJqqEXhijE_aem_AQ72WrjMda0ojVNb0BAo2kWRXtkD4zW1puPXzPuZu9HtPqWXenEjqzEBLEd-2dGXs2k,Food And Beverage Establishments,Restaurant non quick service,,,none
Saffy's,"4845 Fountain Ave, Los Angeles, CA 90029, United States",https://www.saffysla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Howlin' Ray's Hot Chicken - Chinatown,"727 N Broadway #128, Los Angeles, CA 90012, United States",http://www.howlinrays.com/,Food And Beverage Establishments,Quick Service and Fast Food,,,none
Hayato,"1320 E 7th St #126, Los Angeles, CA 90021, United States",https://hayatorestaurant.com/,Food And Beverage Establishments,Sushi,,,none
Found Oyster,"4880 Fountain Ave, Los Angeles, CA 90029, United States",http://www.foundoyster.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Food And Beverage Establishments,Restaurant non quick service,,,none
Moo's Craft Barbecue,"2118 N Broadway, Los Angeles, CA 90031, United States",http://mooscraftbarbecue.com/,Food And Beverage Establishments,Catering,,,none
Wurstküche,"800 E 3rd St, Los Angeles, CA 90013, United States",http://www.wurstkuche.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Antico Nuovo,"4653 Beverly Blvd, Los Angeles, CA 90004, United States",https://www.anticonuovo-la.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
IZAKAYA Taberu Japanese Restaurant,"806 E 3rd St #140, Los Angeles, CA 90013, United States",http://taberu-la.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Chez Bacchus,"743 E 4th St, Long Beach, CA 90802, United States",http://chezbacchus-lb.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Famima,,,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
Philippe The Original,"1001, North Alameda Street",https://www.philippes.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Cole's P.E. Buffet,"118, East 6th Street, Los Angeles, CA",https://www.colesfrenchdip.com/,Food And Beverage Establishments,Catering,,,none
Bottega Louie,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Lili Ya,,,Food And Beverage Establishments,Restaurant non quick service,,,none
The Edison,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Restaurant Aoi,"331, E. 1st St.",,Food And Beverage Establishments,Restaurant non quick service,,,none
Daikokuya,"327, E 1st St.",,Food And Beverage Establishments,Restaurant non quick service,,,none
Carl's Jr.,"229, West 7th Street, Los Angeles, CA",https://locations.carlsjr.com/ca/los-angeles/229-w-7th-street,Food And Beverage Establishments,Fast Food and Counter Service,,,none
Ralphs,"645, West 9th Street, Los Angeles, CA",https://www.ralphs.com/stores/grocery/ca/los-angeles/9th-flower/703/00022,Food And Beverage Establishments,Grocery Stores and Large Retailers,,,none
Drago Centro,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Corner Bakery,,,Food And Beverage Establishments,Pastry,,,none
Ciudad,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Wokcano,,https://www.wokcanorestaurant.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Wolfgang Puck,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Subway,"630, West Sixth Street, Los Angeles, CA",https://restaurants.subway.com/united-states/ca/los-angeles/630-west-sixth-st,Food And Beverage Establishments,Coffee,,,none
Library Bar,,,Food And Beverage Establishments,Bar,,,none
Cafe Pinot,,,Food And Beverage Establishments,Coffee,,,none
Daily Grill,,,Food And Beverage Establishments,Catering,,,none
The Counter,West 7th Street,,Food And Beverage Establishments,Quick Service ans Fast Food and Counter Service,,,none
Marie's Coffee & Deli,"731, West 7th Street, Los Angeles, CA",https://mariescoffeedeli.com/home,Food And Beverage Establishments,Coffee,,,none
Izakaya Gazen,"362, East 1st Street",,Food And Beverage Establishments,Restaurant non quick service,,,none
Gary Leonard Take My Picture,,,Food And Beverage Establishments,Photography,,,none
Sara Palacios Gallery,,,Food And Beverage Establishments,Art Gallery,,,none
PI^LA,,,Food And Beverage Establishments,Pizza,,,none
Clifton's Republic,,https://theneverlands.com/cliftons-republic/,Food And Beverage Establishments,Restaurant non quick service,,,none
Bar 107,,,Food And Beverage Establishments,Bar,,,none
Purgatory Pizza,,https://www.eatpurgatorypizza.com/,Food And Beverage Establishments,Pizza,,,none
Sbarro,,,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
El Pollo Loco,,https://www.elpolloloco.com/,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
T-Mobile,,,Food And Beverage Establishments,Retail and Cashier and Customer Service,,,none
Jack in the Box,"516, North Beaudry Avenue, Los Angeles, CA",https://locations.jackinthebox.com/us/ca/los-angeles/516-n-beaudry-ave,Food And Beverage Establishments,Delivery,,,none
Homegirl Cafe,"130, West Bruno Street, Los Angeles",https://homeboyindustries.org/social-enterprises/cafe/,Food And Beverage Establishments,Coffee,,,none
Empress Pavilion,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Majestic Malt Shop,,,Food And Beverage Establishments,Flower Shop,,,none
Reliable Do It Center,,,Food And Beverage Establishments,Hardware and Home Improvement,,,none
The California Endowment Courtyard Cafe,,,Food And Beverage Establishments,Restaurant non quick service,,,none
Wurstküche,"608 1/2, E. 3rd, Los Angeles",https://www.wurstkuche.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Mr. Ramen,"341, E. 1st St.",,Food And Beverage Establishments,Restaurant non quick service,,,none
Rakkan Ramen,"359, East 1st Street",,Food And Beverage Establishments,Restaurant non quick service,,,none
Far Bar,"347, E. 1st St., Los Angeles, CA",https://www.farbarla.com/,Food And Beverage Establishments,Bar,,,none
Korean BBQ House,"123, Astronaut Ellison S Onizuka Street, Los Angeles, CA",https://www.koreabbqhouse.com/,Food And Beverage Establishments,Catering,,,none
Anzen Hardware,"309, E. 1st St.",,Food And Beverage Establishments,Hardware Store,,,none
Video Paradise,"321, E. 1st St.",,Food And Beverage Establishments,Video Paradise best matches the business type of Electronics and Computer Repair.,,,none
Suehiro Cafe,"337, E. 1st St.",,Food And Beverage Establishments,Restaurant non quick service,,,none
San Sui Tei,"313, E. 1st St.",,Food And Beverage Establishments,Restaurant non quick service,,,none
JiST Cafe,"116, Judge John Aiso St., Los Angeles, CA",,Food And Beverage Establishments,Restaurant non quick service,,,none
IS Fish Market,,,Food And Beverage Establishments,Fishmonger,,,none
Comunity Made,"584, Mateo Street",https://www.comunitymade.com/,Food And Beverage Establishments,Community Made best matches with Catering.,,,none
Public School 213,"612, South Flower St",https://publicschool612.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Chipotle,"601, W. 7th Street, Los Angeles, CA",https://locations.chipotle.com/ca/los-angeles/601-w-7th-st,Food And Beverage Establishments,Quick Service and Fast Food,,,none
Sugarfish,"600, West 7th Street, Los Angeles, CA",https://sugarfishsushi.com/,Food And Beverage Establishments,Fishmonger,,,none
Seven Grand Whiskey Bar,"513, West 7th Street, Los Angeles, CA",http://www.sevengrand.la/,Food And Beverage Establishments,Bar,,,none
IHOP,"800, South Flower Street, Los Angeles, CA",https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-800-s-flower-st-797,Food And Beverage Establishments,Grocery Stores and Large Retailers,,,none
Pizza Next Door,"806 (Unit B), West 8th Street",http://www.pizzanextdoor.com/,Food And Beverage Establishments,Pizza,,,none
Roy's Hawaiian Fusion,"800, S. Figueroa St.",https://www.roysrestaurant.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
SanSai Japanese Grill,"806, West 8th Street",https://www.sansaigrill.com/,Food And Beverage Establishments,Sushi,,,none
The Coffee Bean & Tea Leaf,"645 (Suite #108), W. 9th St.",https://www.coffeebean.com/,Food And Beverage Establishments,Coffee,,,none
Simply Salad,"645 (Suite #106), W. 9th St.",https://simplysalad.com/,Food And Beverage Establishments,Food Prep,,,none
The UPS Store,"645 (Unit 110), W. 9th St.",,Food And Beverage Establishments,Grocery Stores and Large Retailers,,,none
Panini Cafe Downtown,"600, W. 9th St.",mypaninicafe.com,Food And Beverage Establishments,Restaurant non quick service,,,none
Quiznos,"645, W. 9th St",https://www.quiznos.com/,Food And Beverage Establishments,Quick Service and Fast Food and Counter Service,,,none
Nickel Diner,"524, South Main Street, Los Angeles",,Food And Beverage Establishments,Restaurant non quick service,,,none
First Cup Caffe,,,Food And Beverage Establishments,Coffee,,,none
Guisados,"1261, West Sunset Boulevard",https://www.guisados.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
The Blue Cube,,,Food And Beverage Establishments,Coffee,,,none
Buzz Wine Beer Shop,,,Food And Beverage Establishments,Brewery,,,none
Big Man Bakes,"413, South Main Street, Los Angeles, CA",http://bigmanbakes.com,Food And Beverage Establishments,Baking,,,none
Blossom,CA,,Food And Beverage Establishments,Flower Shop,,,none
Bäco Mercat,"408, South Main Street, CA",http://www.bacomercat.com,Food And Beverage Establishments,Restaurant non quick service,,,none
